pop,hispanic_or_latino,white,black,native_american,asian,nhpi,other,two_or_more,sex_ratio,bachelors,income,foreign_born,age,county,state,margin
"96,921.000",0.060,0.758,0.134,0.007,0.014,0.000,0.000,0.025,0.996,0.256,"64,270",0.033,40,Limestone, Alabama,-0.43
"9,936.000",0.004,0.247,0.746,0.001,0.000,0.000,0.000,0.002,0.912,0.170,"33,634",0.007,42.50,Lowndes, Alabama,0.46
"18,437.000",0.004,0.161,0.819,0.001,0.002,0.000,0.001,0.011,0.835,0.144,"35,450",0.006,38.70,Macon, Alabama,0.64
"367,686.000",0.050,0.644,0.243,0.005,0.026,0.001,0.002,0.028,0.953,0.421,"66,887",0.054,38.50,Madison, Alabama,-0.08
"19,138.000",0.026,0.448,0.518,0.001,0.000,0.000,0.000,0.007,0.887,0.215,"33,029",0.011,41.80,Marengo, Alabama,0.01
"29,818.000",0.026,0.913,0.038,0.005,0.001,0.000,0.000,0.018,0.980,0.148,"40,978",0.014,44.50,Marion, Alabama,-0.78
"96,137.000",0.141,0.805,0.028,0.003,0.006,0.000,0.001,0.015,0.976,0.205,"50,216",0.071,39.20,Marshall, Alabama,-0.69
"413,977.000",0.029,0.565,0.359,0.007,0.019,0.000,0.004,0.018,0.908,0.256,"49,625",0.031,38.10,Mobile, Alabama,-0.12
"21,006.000",0.004,0.541,0.425,0.014,0.006,0.001,0.000,0.010,0.927,0.162,"31,969",0.008,43.50,Monroe, Alabama,-0.16
"226,451.000",0.035,0.332,0.578,0.001,0.031,0.000,0.001,0.022,0.890,0.302,"51,963",0.047,36.70,Montgomery, Alabama,0.31
"119,352.000",0.084,0.753,0.125,0.004,0.006,0.001,0.002,0.025,0.972,0.143,"52,923",0.045,40.50,Morgan, Alabama,-0.49
"9,104.000",0.020,0.295,0.683,0.000,0.001,0.000,0.001,0.000,0.912,0.156,"23,875",0.021,38.50,Perry, Alabama,0.48
"20,049.000",0.049,0.536,0.399,0.002,0.000,0.000,0.000,0.012,0.916,0.121,"40,362",0.037,42.50,Pickens, Alabama,-0.16
"33,274.000",0.023,0.559,0.373,0.004,0.021,0.000,0.000,0.020,0.927,0.259,"39,218",0.042,30.80,Pike, Alabama,-0.17
"22,732.000",0.029,0.751,0.190,0.004,0.002,0.000,0.002,0.022,0.942,0.193,"45,141",0.016,43.60,Randolph, Alabama,-0.59
"57,938.000",0.056,0.450,0.444,0.001,0.011,0.001,0.009,0.028,0.923,0.175,"42,208",0.031,36.70,Russell, Alabama,0.06
"88,929.000",0.024,0.856,0.094,0.005,0.008,0.000,0.001,0.011,0.992,0.174,"62,531",0.017,40.50,St. Clair, Alabama,-0.64
"216,350.000",0.057,0.774,0.120,0.003,0.020,0.000,0.003,0.024,0.934,0.423,"78,889",0.050,39.50,Shelby, Alabama,-0.40
"12,595.000",0.012,0.249,0.713,0.001,0.020,0.000,0.003,0.004,0.838,0.148,"26,150",0.019,35.70,Sumter, Alabama,0.48
